I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
161, 146, -14, -153, 87, 65, 34, 458, 444, 317, 224, 73, 
170, 151, -19, -161, 95, 65, 34, 463, 458, 326, 234, 73, 
180, 161, -19, -170, 100, 70, 29, 478, 473, 346, 244, 78, 
185, 165, -19, -175, 102, 73, 19, 483, 483, 346, 253, 82, 
190, 170, -19, -180, 104, 75, 14, 488, 492, 356, 258, 87, 
190, 175, -14, -183, 102, 80, 14, 488, 502, 361, 268, 87, 
195, 180, -14, -187, 104, 82, 9, 483, 517, 380, 287, 97, 
195, 185, -9, -190, 102, 87, 4, 483, 522, 385, 292, 97, 
204, 190, -14, -197, 109, 87, 4, 478, 527, 390, 292, 107, 
204, 195, -9, -200, 107, 92, 4, 468, 527, 390, 297, 112, 
190, 200, 9, -195, 90, 104, 14, 473, 531, 395, 307, 126, 
185, 204, 19, -195, 82, 112, 14, 473, 536, 405, 312, 131, 
170, 209, 39, -190, 65, 124, 14, 468, 531, 409, 317, 131, 
165, 209, 43, -187, 61, 126, 14, 458, 531, 405, 322, 131, 
175, 209, 34, -192, 70, 122, 9, 444, 517, 390, 307, 122, 
185, 209, 24, -197, 80, 117, 4, 429, 497, 385, 297, 117, 
195, 209, 14, -202, 90, 112, 0, 405, 473, 370, 292, 112, 
204, 209, 4, -207, 100, 107, -4, 385, 453, 356, 278, 97, 
190, 214, 24, -202, 82, 119, 4, 356, 429, 341, 278, 107, 
180, 209, 29, -195, 75, 119, 9, 341, 414, 331, 263, 107, 
170, 200, 29, -185, 70, 114, 14, 326, 390, 307, 253, 102, 
161, 195, 34, -178, 63, 114, 19, 307, 361, 287, 234, 97, 
141, 185, 43, -163, 48, 114, 14, 287, 331, 278, 219, 97, 
131, 175, 43, -153, 43, 109, 19, 263, 307, 253, 200, 92, 
126, 165, 39, -146, 43, 102, 24, 248, 283, 234, 185, 87, 
107, 156, 48, -131, 29, 102, 24, 229, 253, 219, 165, 78, 
87, 151, 63, -119, 12, 107, 29, 200, 214, 190, 165, 63, 
78, 141, 63, -109, 7, 102, 34, 180, 195, 170, 151, 58, 
63, 126, 63, -95, 0, 95, 39, 161, 165, 151, 136, 53, 
48, 117, 68, -82, -9, 92, 43, 146, 141, 131, 117, 48, 
39, 107, 68, -73, -14, 87, 43, 122, 117, 112, 102, 39, 
34, 92, 58, -63, -12, 75, 43, 107, 92, 87, 87, 24, 
24, 82, 58, -53, -17, 70, 43, 92, 68, 68, 73, 14, 
14, 73, 58, -43, -21, 65, 43, 78, 43, 48, 53, 9, 
0, 63, 63, -31, -31, 63, 53, 63, 39, 43, 43, 4, 
-24, 53, 78, -14, -51, 65, 53, 48, 19, 34, 34, 4, 
-39, 48, 87, -4, -63, 68, 53, 34, 9, 19, 34, 9, 
-53, 39, 92, 7, -73, 65, 53, 19, -9, 4, 24, 9, 
-39, 19, 58, 9, -48, 39, 43, 14, -34, -14, 4, -4, 
-43, 19, 63, 12, -53, 41, 39, 0, -48, -24, -4, -9, 
-39, 9, 48, 14, -43, 29, 39, -14, -53, -34, -14, -14, 
-43, 4, 48, 19, -46, 26, 34, -24, -68, -43, -14, -19, 
-39, 0, 39, 19, -39, 19, 29, -43, -87, -53, -29, -34, 
-34, -4, 29, 19, -31, 12, 24, -48, -97, -63, -34, -34, 
-24, -14, 9, 19, -17, -2, 19, -48, -102, -63, -39, -34, 
-19, -19, 0, 19, -9, -9, 14, -53, -107, -73, -43, -34, 
-34, -9, 24, 21, -29, 7, 19, -53, -107, -73, -43, -34, 
-39, -14, 24, 26, -31, 4, 19, -53, -112, -78, -48, -34, 
-43, -19, 24, 31, -34, 2, 14, -58, -117, -82, -53, -34, 
-48, -19, 29, 34, -39, 4, 14, -58, -122, -82, -53, -34, 
-48, -29, 19, 39, -34, -4, 14, -68, -122, -92, -63, -43, 
-48, -29, 19, 39, -34, -4, 14, -68, -122, -97, -68, -43, 
-39, -34, 4, 36, -21, -14, 14, -73, -122, -102, -68, -43, 
-39, -34, 4, 36, -21, -14, 14, -73, -126, -102, -68, -43, 
-53, -34, 19, 43, -36, -7, 14, -78, -122, -92, -58, -43, 
-53, -39, 14, 46, -34, -12, 14, -78, -122, -92, -63, -43, 
-53, -39, 14, 46, -34, -12, 14, -78, -126, -97, -63, -43, 
-53, -39, 14, 46, -34, -12, 9, -78, -126, -97, -63, -43, 
-58, -39, 19, 48, -39, -9, 9, -68, -131, -97, -53, -43, 
-63, -39, 24, 51, -43, -7, 9, -73, -131, -97, -58, -43, 
-68, -39, 29, 53, -48, -4, 9, -73, -126, -97, -58, -43, 
-78, -39, 39, 58, -58, 0, 9, -73, -126, -97, -58, -43, 
-82, -39, 43, 61, -63, 2, 19, -63, -117, -92, -53, -34, 
-87, -39, 48, 63, -68, 4, 19, -63, -117, -87, -48, -34, 
-92, -39, 53, 65, -73, 7, 19, -63, -117, -82, -39, -34, 
-97, -39, 58, 68, -78, 9, 19, -68, -117, -78, -34, -34, 
-78, -39, 39, 58, -58, 0, 4, -73, -122, -92, -43, -39, 
-63, -39, 24, 51, -43, -7, 0, -78, -126, -97, -48, -48, 
-48, -39, 9, 43, -29, -14, -4, -82, -131, -102, -58, -53, 
-34, -39, -4, 36, -14, -21, -9, -87, -136, -102, -68, -53, 
-29, -39, -9, 34, -9, -24, 0, -78, -141, -102, -58, -48, 
-29, -39, -9, 34, -9, -24, 4, -73, -141, -102, -58, -43, 
-29, -39, -9, 34, -9, -24, 4, -73, -141, -102, -58, -39, 
-29, -39, -9, 34, -9, -24, 4, -73, -141, -102, -58, -34, 
-34, -39, -4, 36, -14, -21, 9, -73, -136, -102, -58, -34, 
-34, -39, -4, 36, -14, -21, 9, -73, -131, -102, -58, -34, 
-39, -34, 4, 36, -21, -14, 9, -68, -131, -102, -63, -34, 
-48, -34, 14, 41, -31, -9, 9, -68, -126, -102, -63, -34, 
-48, -34, 14, 41, -31, -9, 9, -68, -126, -92, -53, -29, 
-48, -34, 14, 41, -31, -9, 9, -68, -122, -92, -53, -29, 
-48, -34, 14, 41, -31, -9, 14, -68, -122, -92, -53, -34, 
-53, -34, 19, 43, -36, -7, 14, -68, -122, -92, -48, -34, 
-58, -24, 34, 41, -46, 4, 14, -58, -117, -82, -34, -24, 
-63, -24, 39, 43, -51, 7, 14, -58, -117, -82, -34, -19, 
-68, -24, 43, 46, -56, 9, 14, -58, -117, -82, -34, -19, 
-68, -24, 43, 46, -56, 9, 14, -58, -117, -82, -34, -19, 
-58, -24, 34, 41, -46, 4, 4, -63, -126, -87, -43, -24, 
-48, -24, 24, 36, -36, 0, 4, -63, -126, -87, -43, -34, 
-43, -24, 19, 34, -31, -2, 4, -63, -126, -92, -43, -39, 
-34, -24, 9, 29, -21, -7, 4, -63, -126, -97, -43, -39, 
-43, -34, 9, 39, -26, -12, 4, -63, -126, -97, -43, -39, 
-39, -34, 4, 36, -21, -14, 4, -63, -126, -92, -43, -34, 
-39, -34, 4, 36, -21, -14, 4, -63, -126, -92, -43, -34, 
-39, -34, 4, 36, -21, -14, 4, -63, -122, -97, -43, -34, 
-39, -34, 4, 36, -21, -14, 14, -58, -122, -87, -53, -24, 
-39, -34, 4, 36, -21, -14, 14, -58, -122, -87, -53, -24, 
-39, -34, 4, 36, -21, -14, 14, -58, -122, -87, -53, -24, 
-39, -34, 4, 36, -21, -14, 14, -58, -122, -87, -53, -24, 
-48, -34, 14, 41, -31, -9, 4, -48, -122, -87, -63, -24, 
-53, -34, 19, 43, -36, -7, 9, -53, -122, -87, -63, -29, 
-53, -34, 19, 43, -36, -7, 9, -53, -122, -87, -63, -29, 
-53, -34, 19, 43, -36, -7, 9, -53, -122, -87, -63, -29, 
-58, -34, 24, 46, -41, -4, 19, -43, -112, -87, -58, -19, 
-63, -34, 29, 48, -46, -2, 19, -43, -117, -87, -53, -19, 
-68, -34, 34, 51, -51, 0, 19, -43, -117, -87, -48, -19, 
-73, -34, 39, 53, -56, 2, 19, -43, -117, -87, -43, -19, 
-73, -29, 43, 51, -58, 7, 19, -53, -117, -87, -53, -24, 
-73, -29, 43, 51, -58, 7, 19, -53, -117, -87, -53, -24, 
-73, -29, 43, 51, -58, 7, 19, -53, -117, -87, -53, -29, 
-73, -24, 48, 48, -61, 12, 19, -53, -117, -87, -53, -29, 
-53, -34, 19, 43, -36, -7, 14, -63, -126, -102, -68, -39, 
-39, -34, 4, 36, -21, -14, 9, -63, -126, -102, -68, -39, 
-29, -39, -9, 34, -9, -24, 4, -63, -131, -102, -63, -39, 
-24, -39, -14, 31, -4, -26, 0, -63, -136, -102, -63, -39, 
-39, -39, 0, 39, -19, -19, 9, -63, -136, -92, -63, -29, 
-39, -39, 0, 39, -19, -19, 9, -63, -131, -92, -58, -29, 
-43, -39, 4, 41, -24, -17, 9, -63, -131, -92, -53, -29, 
-53, -43, 9, 48, -31, -17, 9, -63, -131, -92, -48, -29, 
-53, -43, 9, 48, -31, -17, 9, -53, -136, -92, -63, -34, 
-53, -43, 9, 48, -31, -17, 9, -58, -141, -92, -63, -34, 
-58, -43, 14, 51, -36, -14, 4, -58, -141, -97, -63, -34, 
-58, -43, 14, 51, -36, -14, 4, -58, -136, -102, -63, -34, 
-58, -53, 4, 56, -31, -24, 4, -58, -136, -102, -58, -43, 
-58, -53, 4, 56, -31, -24, 4, -63, -141, -102, -58, -43, 
-63, -58, 4, 61, -34, -26, 4, -63, -141, -102, -58, -39, 
-63, -58, 4, 61, -34, -26, 4, -63, -141, -102, -58, -39, 
-68, -48, 19, 58, -43, -14, 14, -58, -131, -92, -58, -29, 
-68, -48, 19, 58, -43, -14, 14, -58, -131, -92, -58, -29, 
-68, -48, 19, 58, -43, -14, 14, -58, -136, -97, -63, -34, 
-73, -48, 24, 61, -48, -12, 14, -58, -136, -97, -63, -39, 
-53, -48, 4, 51, -29, -21, 4, -63, -146, -102, -68, -53, 
-43, -48, -4, 46, -19, -26, 4, -68, -146, -107, -68, -53, 
-34, -48, -14, 41, -9, -31, 4, -73, -146, -112, -68, -48, 
-24, -48, -24, 36, 0, -36, 4, -78, -146, -117, -68, -48, 
-34, -34, 0, 34, -17, -17, 4, -63, -136, -107, -63, -48, 
-34, -29, 4, 31, -19, -12, 14, -63, -136, -102, -58, -43, 
-34, -29, 4, 31, -19, -12, 19, -53, -136, -102, -53, -39, 
-34, -19, 14, 26, -24, -2, 19, -53, -131, -102, -48, -29, 
-24, -4, 19, 14, -21, 7, 48, -39, -117, -78, -29, -24, 
-34, -4, 29, 19, -31, 12, 48, -29, -117, -73, -24, -14, 
-39, 0, 39, 19, -39, 19, 39, -19, -107, -78, -29, -9, 
-34, 9, 43, 12, -39, 26, 48, -19, -107, -78, -39, -9, 
-29, 9, 39, 9, -34, 24, 48, -19, -107, -78, -39, -9, 
-24, 9, 34, 7, -29, 21, 48, -19, -107, -78, -39, -9, 
-19, 9, 29, 4, -24, 19, 48, -19, -107, -78, -39, -9, 
-19, 9, 29, 4, -24, 19, 48, -9, -107, -68, -29, -9, 
-14, 19, 34, -2, -24, 26, 48, -4, -107, -63, -29, -9, 
-14, 24, 39, -4, -26, 31, 53, -4, -102, -63, -24, -9, 
-9, 29, 39, -9, -24, 34, 53, 0, -97, -53, -24, -4, 
0, 29, 29, -14, -14, 29, 48, 0, -87, -63, -24, -4, 
4, 29, 24, -17, -9, 26, 39, 0, -87, -63, -24, -4, 
14, 29, 14, -21, 0, 21, 29, -9, -87, -63, -19, -4, 
14, 34, 19, -24, -2, 26, 19, -14, -87, -63, -19, -4, 
9, 34, 24, -21, -7, 29, 9, -24, -102, -63, -29, 4, 
4, 39, 34, -21, -14, 36, 0, -39, -107, -68, -29, 9, 
0, 39, 39, -19, -19, 39, -9, -58, -112, -68, -34, 9, 
-4, 39, 43, -17, -24, 41, -19, -63, -117, -68, -34, 14, 
4, 29, 24, -17, -9, 26, -19, -78, -122, -78, -34, 4, 
4, 24, 19, -14, -7, 21, -24, -78, -122, -78, -34, 4, 
9, 24, 14, -17, -2, 19, -29, -78, -117, -78, -34, 4, 
