I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-24, 4, 29, 9, -26, 17, -19, 0, 53, -170, -4, -9, 
-34, 9, 43, 12, -39, 26, -19, -4, 43, -161, -4, -19, 
-24, 9, 34, 7, -29, 21, -19, -14, 43, -161, -4, -19, 
-24, 14, 39, 4, -31, 26, -19, -19, 53, -161, 0, -19, 
-24, 9, 34, 7, -29, 21, -19, -24, 53, -156, 0, -19, 
-19, -4, 14, 12, -17, 4, -9, -39, 43, -165, 0, -14, 
-19, -14, 4, 17, -12, -4, -9, -39, 48, -156, 0, -14, 
-19, -24, -4, 21, -7, -14, -9, -39, 48, -156, 0, -14, 
-19, -29, -9, 24, -4, -19, -9, -39, 48, -156, 0, -14, 
-19, -19, 0, 19, -9, -9, -4, -43, 39, -161, -9, -29, 
-19, -39, -19, 29, 0, -29, -4, -43, 48, -146, -9, -29, 
-19, -43, -24, 31, 2, -34, -4, -39, 48, -146, -9, -29, 
-19, -53, -34, 36, 7, -43, -4, -39, 48, -146, -9, -29, 
-29, -39, -9, 34, -9, -24, 4, -43, 39, -146, -14, -39, 
-29, -53, -24, 41, -2, -39, 9, -34, 48, -136, -9, -39, 
-29, -68, -39, 48, 4, -53, 9, -34, 63, -131, -9, -34, 
-34, -68, -34, 51, 0, -51, 9, -34, 63, -131, -19, -34, 
-43, -48, -4, 46, -19, -26, 4, -53, 48, -151, -24, -53, 
-43, -43, 0, 43, -21, -21, 4, -53, 39, -151, -24, -58, 
-43, -58, -14, 51, -14, -36, 9, -53, 34, -151, -24, -58, 
-43, -82, -39, 63, -2, -61, 9, -53, 29, -151, -24, -53, 
-58, -87, -29, 73, -14, -58, 9, -43, 34, -136, -14, -43, 
-58, -92, -34, 75, -12, -63, 14, -43, 39, -136, -14, -48, 
-58, -102, -43, 80, -7, -73, 19, -39, 39, -136, -14, -48, 
-58, -122, -63, 90, 2, -92, 24, -39, 39, -136, -14, -48, 
-63, -117, -53, 90, -4, -85, 19, -39, 29, -141, -19, -63, 
-63, -102, -39, 82, -12, -70, 14, -43, 29, -146, -24, -68, 
-63, -78, -14, 70, -24, -46, 9, -48, 39, -151, -29, -78, 
-63, -63, 0, 63, -31, -31, 4, -53, 39, -156, -39, -82, 
-48, -78, -29, 63, -9, -53, 19, -43, 39, -146, -24, -73, 
-48, -82, -34, 65, -7, -58, 19, -39, 34, -141, -19, -68, 
-53, -78, -24, 65, -14, -51, 19, -39, 34, -136, -24, -68, 
-53, -63, -9, 58, -21, -36, 19, -43, 29, -146, -19, -63, 
-48, -87, -39, 68, -4, -63, 4, -43, 19, -146, -29, -63, 
-48, -87, -39, 68, -4, -63, 4, -43, 19, -141, -34, -63, 
-48, -87, -39, 68, -4, -63, 4, -43, 19, -141, -34, -68, 
-48, -78, -29, 63, -9, -53, 4, -43, 19, -146, -34, -73, 
-58, -78, -19, 68, -19, -48, 4, -53, 4, -165, -39, -73, 
-58, -82, -24, 70, -17, -53, 4, -53, 4, -165, -39, -73, 
-58, -87, -29, 73, -14, -58, 14, -53, 14, -156, -39, -73, 
-58, -97, -39, 78, -9, -68, 19, -43, 14, -141, -34, -63, 
-48, -97, -48, 73, 0, -73, 14, -39, 4, -141, -34, -73, 
-48, -92, -43, 70, -2, -68, 14, -34, 19, -146, -34, -73, 
-48, -92, -43, 70, -2, -68, 14, -34, 4, -156, -34, -78, 
-48, -87, -39, 68, -4, -63, 9, -39, 4, -156, -39, -78, 
-48, -82, -34, 65, -7, -58, 9, -34, 14, -156, -29, -68, 
-53, -73, -19, 63, -17, -46, 14, -43, 4, -151, -34, -68, 
-53, -68, -14, 61, -19, -41, 14, -43, 0, -151, -43, -87, 
-53, -73, -19, 63, -17, -46, 19, -43, 0, -146, -29, -78, 
-53, -73, -19, 63, -17, -46, 9, -43, 0, -146, -29, -78, 
-58, -73, -14, 65, -21, -43, 4, -48, 0, -141, -29, -78, 
-63, -87, -24, 75, -19, -56, 0, -48, 4, -136, -29, -73, 
-68, -87, -19, 78, -24, -53, 0, -53, 9, -136, -24, -73, 
-58, -82, -24, 70, -17, -53, 0, -43, 9, -126, -34, -78, 
-58, -87, -29, 73, -14, -58, 0, -43, 9, -126, -34, -82, 
-58, -87, -29, 73, -14, -58, 0, -43, 4, -136, -34, -87, 
-63, -82, -19, 73, -21, -51, -4, -43, -14, -141, -34, -92, 
-53, -73, -19, 63, -17, -46, 0, -48, -9, -131, -43, -92, 
-39, -68, -29, 53, -4, -48, 4, -48, -14, -136, -43, -92, 
-29, -63, -34, 46, 2, -48, 9, -48, -14, -136, -43, -87, 
-19, -58, -39, 39, 9, -48, 9, -53, -14, -136, -48, -87, 
-24, -58, -34, 41, 4, -46, 4, -63, -24, -146, -48, -87, 
-29, -68, -39, 48, 4, -53, 4, -63, -24, -146, -48, -87, 
-34, -87, -53, 61, 9, -70, 0, -58, -14, -146, -48, -87, 
-39, -87, -48, 63, 4, -68, -4, -58, -14, -146, -43, -82, 
-39, -92, -53, 65, 7, -73, 4, -58, -9, -136, -34, -78, 
-34, -92, -58, 63, 12, -75, 4, -48, -14, -131, -34, -78, 
-34, -78, -43, 56, 4, -61, 4, -58, -24, -131, -34, -82, 
-39, -78, -39, 58, 0, -58, 4, -63, -34, -131, -34, -82, 
-39, -82, -43, 61, 2, -63, 14, -63, -24, -131, -29, -73, 
-39, -102, -63, 70, 12, -82, 14, -63, -24, -122, -29, -68, 
-34, -107, -73, 70, 19, -90, 9, -63, -24, -122, -29, -68, 
-34, -112, -78, 73, 21, -95, 9, -63, -24, -122, -29, -68, 
-34, -102, -68, 68, 17, -85, 0, -63, -34, -122, -39, -82, 
-39, -92, -53, 65, 7, -73, -4, -63, -34, -122, -43, -87, 
-39, -87, -48, 63, 4, -68, -4, -63, -34, -126, -43, -87, 
-39, -87, -48, 63, 4, -68, -4, -63, -34, -126, -43, -82, 
-39, -82, -43, 61, 2, -63, 0, -78, -39, -126, -53, -82, 
-48, -82, -34, 65, -7, -58, 0, -78, -39, -126, -53, -87, 
-39, -82, -43, 61, 2, -63, 0, -82, -43, -126, -53, -92, 
-39, -78, -39, 58, 0, -58, 0, -82, -48, -126, -53, -102, 
-48, -73, -24, 61, -12, -48, -14, -73, -63, -117, -48, -97, 
-53, -63, -9, 58, -21, -36, -14, -78, -63, -122, -48, -92, 
-58, -87, -29, 73, -14, -58, -9, -78, -58, -122, -43, -92, 
-63, -87, -24, 75, -19, -56, -9, -78, -53, -117, -43, -87, 
-58, -82, -24, 70, -17, -53, -19, -87, -48, -117, -53, -102, 
-53, -78, -24, 65, -14, -51, -19, -87, -43, -117, -48, -97, 
-43, -73, -29, 58, -7, -51, -19, -82, -43, -117, -48, -102, 
-39, -73, -34, 56, -2, -53, -19, -82, -48, -117, -48, -107, 
-39, -92, -53, 65, 7, -73, -9, -78, -48, -102, -43, -92, 
-39, -97, -58, 68, 9, -78, -9, -78, -58, -102, -39, -92, 
-39, -102, -63, 70, 12, -82, -9, -73, -48, -97, -34, -87, 
-39, -122, -82, 80, 21, -102, -9, -73, -34, -92, -29, -78, 
-39, -107, -68, 73, 14, -87, -9, -68, -34, -92, -29, -82, 
-39, -97, -58, 68, 9, -78, -9, -78, -39, -92, -29, -82, 
-39, -68, -29, 53, -4, -48, -24, -87, -58, -102, -39, -92, 
-39, -48, -9, 43, -14, -29, -24, -97, -82, -102, -48, -97, 
-48, -68, -19, 58, -14, -43, -9, -92, -78, -97, -39, -87, 
-48, -78, -29, 63, -9, -53, -9, -82, -68, -92, -39, -87, 
-48, -87, -39, 68, -4, -63, -4, -78, -63, -92, -39, -87, 
-48, -102, -53, 75, 2, -78, 0, -82, -58, -92, -39, -87, 
-43, -107, -63, 75, 9, -85, -9, -92, -63, -92, -39, -87, 
-39, -102, -63, 70, 12, -82, -9, -82, -63, -97, -34, -82, 
-34, -102, -68, 68, 17, -85, -4, -82, -63, -97, -34, -82, 
-29, -107, -78, 68, 24, -92, 0, -82, -48, -97, -34, -78, 
-24, -87, -63, 56, 19, -75, -9, -82, -73, -102, -48, -82, 
-24, -68, -43, 46, 9, -56, -14, -87, -82, -107, -48, -92, 
-29, -68, -39, 48, 4, -53, -14, -87, -87, -112, -48, -97, 
-29, -58, -29, 43, 0, -43, -14, -82, -78, -117, -43, -102, 
-39, -73, -34, 56, -2, -53, 0, -78, -73, -102, -34, -92, 
-53, -78, -24, 65, -14, -51, 4, -73, -82, -102, -34, -92, 
-63, -82, -19, 73, -21, -51, 14, -73, -78, -97, -34, -87, 
-73, -87, -14, 80, -29, -51, 19, -68, -73, -92, -34, -87, 
-68, -97, -29, 82, -19, -63, 14, -73, -58, -82, -24, -78, 
-63, -97, -34, 80, -14, -65, 9, -73, -58, -82, -24, -78, 
-58, -97, -39, 78, -9, -68, 0, -78, -63, -87, -19, -78, 
-48, -92, -43, 70, -2, -68, -4, -78, -78, -92, -19, -82, 
-48, -102, -53, 75, 2, -78, -9, -87, -68, -92, -29, -92, 
-48, -102, -53, 75, 2, -78, -9, -92, -68, -92, -34, -92, 
-48, -92, -43, 70, -2, -68, -9, -92, -68, -92, -34, -92, 
-48, -92, -43, 70, -2, -68, -9, -92, -78, -92, -34, -97, 
-53, -82, -29, 68, -12, -56, -9, -82, -78, -97, -34, -97, 
